Mois,Ref Employe,Salaire Base,Salaire
01/01/2024,5,2000000,manager
01/01/2024,7,1100000,senior
01/01/2024,9,1800000,manager
01/03/2024,20,500000,intern
01/06/2024,1,820000,junior
01/06/2024,3,1250000,senior
01/06/2024,5,2050000,manager
01/06/2024,7,1150000,senior
01/06/2024,9,1850000,manager
01/06/2024,15,720000,junior
01/06/2024,17,970000,junior
01/09/2024,4,710000,junior
01/09/2024,6,870000,junior
01/09/2024,20,520000,intern
01/01/2025,1,830000,junior
01/01/2025,3,1300000,senior
01/01/2025,5,2100000,manager
01/01/2025,7,1200000,senior
01/01/2025,9,1900000,manager
01/01/2025,11,640000,intern
01/01/2025,13,940000,junior
01/01/2025,15,740000,junior
01/01/2025,17,990000,junior
01/01/2025,19,1050000,senior
01/06/2025,2,780000,junior
01/06/2025,4,720000,junior
01/06/2025,6,880000,junior
01/06/2025,8,930000,junior
01/06/2025,10,980000,junior
01/06/2025,12,2700000,manager
01/06/2025,14,1400000,senior
01/06/2025,20,540000,intern
01/01/2026,1,850000,junior
01/01/2026,3,1350000,senior
01/01/2026,5,2200000,manager
01/01/2026,7,1250000,senior
01/01/2026,9,1950000,manager
01/01/2026,11,660000,intern
01/01/2026,13,960000,junior
01/01/2026,15,760000,junior
01/01/2026,17,1000000,junior
01/01/2026,19,1100000,senior
01/06/2026,2,790000,junior
01/06/2026,4,730000,junior
01/06/2026,6,890000,junior
01/06/2026,8,940000,junior
01/06/2026,10,990000,junior
01/06/2026,12,2800000,manager
01/06/2026,14,1450000,senior
01/06/2026,16,840000,junior
01/06/2026,18,1250000,senior
01/06/2026,20,560000,intern
01/12/2026,21,3000000,manager
01/12/2026,22,1500000,senior
01/12/2026,23,980000,junior
01/12/2026,24,670000,intern
01/12/2026,25,950000,junior
01/12/2026,26,1400000,senior
01/12/2026,27,960000,junior
01/12/2026,28,2000000,manager
01/12/2026,29,5000000,manager
01/12/2026,30,0,intern
